Meldedatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2020/07/02 00:00:00+00,470,4,466
2020/07/03 00:00:00+00,426,6,420
2020/07/04 00:00:00+00,292,2,290
2020/07/05 00:00:00+00,142,4,138
2020/07/06 00:00:00+00,320,6,314
2020/07/07 00:00:00+00,391,4,387
2020/07/08 00:00:00+00,453,6,447
2020/07/09 00:00:00+00,427,5,422
2020/07/10 00:00:00+00,427,3,424
2020/07/11 00:00:00+00,278,0,278
2020/07/12 00:00:00+00,131,1,130
2020/07/13 00:00:00+00,324,5,319
2020/07/14 00:00:00+00,461,2,459
2020/07/15 00:00:00+00,537,6,531
2020/07/16 00:00:00+00,555,7,548
2020/07/17 00:00:00+00,521,6,515
2020/07/18 00:00:00+00,428,0,428
2020/07/19 00:00:00+00,187,4,183
2020/07/20 00:00:00+00,456,4,452
2020/07/21 00:00:00+00,520,4,516
2020/07/22 00:00:00+00,698,9,689
2020/07/23 00:00:00+00,696,3,693
2020/07/24 00:00:00+00,805,10,795
2020/07/25 00:00:00+00,543,3,540
2020/07/26 00:00:00+00,211,0,211
2020/07/27 00:00:00+00,527,7,520
2020/07/28 00:00:00+00,756,4,752
2020/07/29 00:00:00+00,905,4,901
2020/07/30 00:00:00+00,851,5,846
2020/07/31 00:00:00+00,921,10,911
2020/08/01 00:00:00+00,561,1,560
2020/08/02 00:00:00+00,301,1,300
2020/08/03 00:00:00+00,798,8,790
2020/08/04 00:00:00+00,946,5,941
2020/08/05 00:00:00+00,1113,3,1110
2020/08/06 00:00:00+00,1166,6,1160
2020/08/07 00:00:00+00,1005,5,1000
2020/08/08 00:00:00+00,711,2,709
2020/08/09 00:00:00+00,319,2,317
2020/08/10 00:00:00+00,1104,2,1102
2020/08/11 00:00:00+00,1194,2,1192
2020/08/12 00:00:00+00,1540,10,1530
2020/08/13 00:00:00+00,1489,2,1487
2020/08/14 00:00:00+00,1376,5,1371
2020/08/15 00:00:00+00,754,4,750
2020/08/16 00:00:00+00,492,5,487
2020/08/17 00:00:00+00,1549,8,1541
2020/08/18 00:00:00+00,1536,9,1527
2020/08/19 00:00:00+00,1752,1,1751
2020/08/20 00:00:00+00,1621,7,1614
2020/08/21 00:00:00+00,1654,3,1651
